city,dev_name,dev_type,time,alm_level
省NOC,广州_马场_MSCe19,MSCe,2018/5/25 1:45,4
省NOC,广州_马场_MSCe19,MSCe,2018/6/1 0:00,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:00,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:00,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:00,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:00,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:00,4
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:00,6
省NOC,广州_马场_MSCe19,MSCe,2018/6/1 0:01,4
江门,江门_炮台_MGW1,MGW,2018/6/1 0:01,4
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:01,3
珠海,珠海_新香洲_MGW2,MGW,2018/6/1 0:01,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:01,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:01,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:01,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:01,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:01,6
江门,江门_炮台_MGW1,MGW,2018/6/1 0:01,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:03,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:03,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:03,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:03,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:03,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:03,4
江门,江门_枢纽_MGW2,MGW,2018/6/1 0:04,4
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:04,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:04,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:04,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:04,6
江门,江门_枢纽_MGW2,MGW,2018/6/1 0:04,6
珠海,珠海_拱北_MGW1,MGW,2018/6/1 0:05,4
珠海,珠海_新香洲_MGW2,MGW,2018/6/1 0:05,4
珠海,珠海_拱北_MGW1,MGW,2018/6/1 0:06,6
珠海,珠海_新香洲_MGW2,MGW,2018/6/1 0:06,6
江门,江门_枢纽_MGW2,MGW,2018/6/1 0:07,4
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:07,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:07,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:07,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:07,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:07,4
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:07,6
江门,江门_枢纽_MGW2,MGW,2018/6/1 0:07,6
珠海,珠海_新香洲_MGW2,MGW,2018/6/1 0:08,4
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:08,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:08,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:08,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:08,6
珠海,珠海_拱北_MGW1,MGW,2018/6/1 0:08,4
珠海,珠海_新香洲_MGW2,MGW,2018/6/1 0:09,6
珠海,珠海_拱北_MGW1,MGW,2018/6/1 0:09,6
珠海,珠海_新香洲_MGW2,MGW,2018/6/1 0:10,4
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:10,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:10,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:10,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:10,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:10,4
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:10,6
珠海,珠海_新香洲_MGW2,MGW,2018/6/1 0:10,6
珠海,珠海_新香洲_MGW2,MGW,2018/6/1 0:11,4
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:11,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:11,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:11,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:11,6
珠海,珠海_新香洲_MGW2,MGW,2018/6/1 0:11,6
江门,江门_枢纽_MGW2,MGW,2018/6/1 0:11,4
珠海,珠海_新香洲_MGW2,MGW,2018/6/1 0:12,4
江门,江门_枢纽_MGW2,MGW,2018/6/1 0:12,6
珠海,珠海_新香洲_MGW2,MGW,2018/6/1 0:13,6
江门,江门_枢纽_MGW2,MGW,2018/6/1 0:13,4
江门,江门_炮台_MGW1,MGW,2018/6/1 0:13,4
江门,江门_炮台_MGW1,MGW,2018/6/1 0:13,6
江门,江门_枢纽_MGW2,MGW,2018/6/1 0:13,6
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:14,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:14,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:14,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:14,3
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:14,4
省NOC,广州_东莞庄_MSCe20,MSCe,2018/6/1 0:14,6
